ts_utc,close_time,label,tf,event,direction,price,box_top,box_bottom,box_id,confluence
2026-07-18T14:39:47+00:00,1784383200000,HYPE,1h,long_created,long,58.67,59.163,58.554,L1784379600000,
2026-07-18T14:39:48+00:00,1784383200000,Take-Two,1h,long_created,long,236.85,236.23,235.63,L1784376000000,
2026-07-18T15:35:19+00:00,1784386800000,Apple,1h,short_created,short,334.21,333.41,332.76,S1784379600000,
2026-07-18T16:31:24+00:00,1784390399999,XLM,1h,short_created,short,0.1872,0.1854,0.184,S1784383199999,
2026-07-18T16:31:25+00:00,1784390400000,HYPE,4h,long_created,long,59.186,60.973,58.951,L1784304000000,
2026-07-18T17:32:10+00:00,1784394000000,Google,1h,short_created,short,347.3,347.05,346.69,S1784386800000,
2026-07-18T19:43:11+00:00,1784401199999,XRP,1h,short_created,short,1.0908,1.0895,1.0858,S1784390399999,
2026-07-18T19:43:12+00:00,1784401199999,SOL,1h,short_created,short,75.29,75.04,74.81,S1784390399999,
2026-07-18T19:43:13+00:00,1784401199999,DOGE,1h,short_created,short,0.07234,0.07235,0.07214,S1784390399999,
2026-07-18T19:43:14+00:00,1784401199999,NEAR,1h,short_created,short,1.933,1.915,1.904,S1784383199999,
2026-07-18T19:43:15+00:00,1784401199999,SUI,1h,short_created,short,0.7401,0.7368,0.7337,S1784390399999,
2026-07-18T19:43:16+00:00,1784401200000,Gold,1h,short_created,short,4019.1,4024.0,4021.59,S1784390400000,
2026-07-18T19:43:17+00:00,1784401200000,Gold,1h,long_created,long,4019.1,4025.94,4022.58,L1784397600000,
2026-07-18T20:28:01+00:00,1784404799999,TRX,4h,long_created,long,0.3257,0.3239,0.3221,L1784375999999,
2026-07-18T22:07:05+00:00,1784412000000,Amazon,1h,long_created,long,247.5,247.58,247.26,L1784408400000,
2026-07-19T03:35:29+00:00,1784429999999,DOGE,1h,short_created,short,0.07265,0.07258,0.07241,S1784426399999,
2026-07-19T03:35:29+00:00,1784422799999,SOL,1h,short_created,short,76.21,75.6,75.4,S1784419199999,
2026-07-19T03:35:30+00:00,1784422800000,Nvidia,1h,long_created,long,202.28,202.43,202.27,L1784412000000,
2026-07-19T06:14:34+00:00,1784433599999,ETH,1h,short_created,short,1868.56,1861.53,1858.3,S1784426399999,
2026-07-19T06:14:35+00:00,1784437200000,Microsoft,1h,short_created,short,398.09,397.37,396.85,S1784433600000,
2026-07-19T06:14:36+00:00,1784440800000,Google,1h,long_created,long,346.53,346.73,345.81,L1784433600000,
2026-07-19T08:33:21+00:00,1784444400000,Nvidia,1h,long_created,long,201.99,202.26,202.15,L1784437200000,
2026-07-19T08:33:22+00:00,1784448000000,Google,1h,short_created,short,347.5,346.72,346.03,S1784437200000,
2026-07-19T10:09:04+00:00,1784451599999,SUI,1h,short_created,short,0.7486,0.7468,0.7443,S1784447999999,
2026-07-19T10:09:05+00:00,1784451599999,NEAR,1h,short_created,short,1.932,1.941,1.932,S1784447999999,
2026-07-19T10:09:06+00:00,1784455200000,Silber,1h,short_created,short,56.06,56.09,56.04,S1784448000000,
2026-07-19T10:09:07+00:00,1784455200000,SpaceX,1h,short_created,short,127.87,129.18,128.09,S1784451600000,
2026-07-19T11:20:41+00:00,1784458799999,ETH,1h,short_created,short,1872.25,1874.17,1864.55,S1784455199999,
2026-07-19T11:20:42+00:00,1784458799999,LINK,1h,long_created,long,8.37,8.382,8.351,L1784451599999,
2026-07-19T11:20:47+00:00,1784458799999,TRX,1h,short_entry,short,0.3272,0.3287,0.3271,S1784123999999,
2026-07-19T11:20:48+00:00,1784458800000,Gold,1h,long_created,long,4017.09,4021.17,4020.37,L1784440800000,
2026-07-19T11:20:49+00:00,1784458800000,HYPE,1h,short_created,short,60.982,60.933,60.688,S1784448000000,
2026-07-19T12:08:30+00:00,1784462400000,Monero,4h,short_created,short,337.19,331.78,327.01,S1784361600000,
2026-07-19T13:47:34+00:00,1784465999999,NEAR,1h,long_created,long,1.924,1.948,1.933,L1784451599999,
2026-07-19T14:42:16+00:00,1784469599999,DOGE,1h,long_created,long,0.07244,0.0728,0.07236,L1784458799999,
2026-07-19T15:36:27+00:00,1784473199999,XRP,1h,short_created,short,1.0987,1.0959,1.0924,S1784469599999,
2026-07-19T15:36:28+00:00,1784473199999,SOL,1h,short_created,short,76.43,76.18,75.76,S1784465999999,
2026-07-19T15:36:29+00:00,1784473200000,Apple,1h,short_created,short,334.1,333.73,333.08,S1784462400000,
2026-07-19T15:36:29+00:00,1784473200000,Monero,1h,long_created,long,333.5,337.19,335.37,L1784462400000,
2026-07-19T16:30:44+00:00,1784476800000,Amazon,1h,long_created,long,247.14,247.28,247.16,L1784469600000,
2026-07-19T16:30:45+00:00,1784476800000,Monero,8h,short_created,short,333.75,332.19,327.01,S1784361600000,
2026-07-19T18:31:40+00:00,1784483999999,ETH,1h,long_created,long,1867.23,1879.26,1868.89,L1784473199999,
2026-07-19T18:31:41+00:00,1784484000000,Take-Two,1h,short_created,short,236.8,236.66,236.38,S1784466000000,
2026-07-19T18:31:42+00:00,1784484000000,Google,1h,short_created,short,347.33,348.48,347.69,S1784480400000,
2026-07-19T18:31:43+00:00,1784484000000,Google,1h,short_entry,short,347.33,348.48,347.69,S1784480400000,
2026-07-19T19:42:39+00:00,1784487599999,BNB,1h,long_created,long,567.46,570.96,569.41,L1784476799999,
2026-07-19T19:42:39+00:00,1784487599999,BTC,1h,long_created,long,64419.99,64752.0,64406.3,L1784483999999,
2026-07-19T19:42:40+00:00,1784487599999,AVAX,1h,long_created,long,6.41,6.497,6.413,L1784483999999,
2026-07-19T21:23:11+00:00,1784494800000,HYPE,1h,short_created,short,61.327,60.833,60.446,S1784487600000,
2026-07-19T23:10:31+00:00,1784501999999,BNB,1h,short_created,short,570.72,569.92,568.0,S1784498399999,
2026-07-19T23:10:31+00:00,1784501999999,LINK,1h,short_created,short,8.374,8.389,8.327,S1784498399999,
2026-07-19T23:10:32+00:00,1784502000000,Apple,1h,short_created,short,333.66,333.96,333.14,S1784491200000,
2026-07-19T23:10:33+00:00,1784502000000,SpaceX,1h,long_created,long,127.47,128.31,127.98,L1784494800000,
2026-07-20T02:57:47+00:00,1784509199999,ETH,1h,short_created,short,1869.56,1868.23,1857.49,S1784498399999,
2026-07-20T02:57:48+00:00,1784509199999,BTC,1h,short_created,short,64628.01,64562.55,64350.0,S1784498399999,1d
2026-07-20T02:57:49+00:00,1784509199999,SOL,1h,short_created,short,76.39,76.24,75.71,S1784498399999,
2026-07-20T02:57:50+00:00,1784509199999,XRP,1h,short_created,short,1.0967,1.0973,1.0918,S1784498399999,
2026-07-20T02:57:51+00:00,1784509199999,DOGE,1h,short_created,short,0.07232,0.07246,0.0719,S1784498399999,
2026-07-20T02:57:52+00:00,1784509199999,ADA,1h,short_created,short,0.1649,0.1667,0.1647,S1784498399999,
2026-07-20T02:57:53+00:00,1784509199999,AVAX,1h,short_created,short,6.511,6.451,6.409,S1784498399999,
2026-07-20T02:57:55+00:00,1784512799999,SUI,1h,short_created,short,0.749,0.7525,0.7452,S1784498399999,
2026-07-20T02:57:56+00:00,1784509200000,Gold,1h,long_created,long,4007.64,4020.23,4018.34,L1784487600000,
2026-07-20T02:57:57+00:00,1784512800000,Gold,1h,short_created,short,4007.64,4001.34,3995.12,S1784505600000,
